,Concept,Occurence,Frequency,Mean,Median,Sdev
162,large observatory research institute,[44],1,0.08997955010224949,0.08997955010224949,0.0
163,cluster,[ 45  90 248 396 397],5,0.48098159509202454,0.5071574642126789,0.30257391180005955
164,andromeda galaxy,[45],1,0.09202453987730061,0.09202453987730061,0.0
165,brocchi,[45],1,0.09202453987730061,0.09202453987730061,0.0
166,persian astronomer abd,[45],1,0.09202453987730061,0.09202453987730061,0.0
167,number,[ 45  57  61 112 227],5,0.20531697341513294,0.12474437627811862,0.1376908487439443
168,omicron velorum,[45],1,0.09202453987730061,0.09202453987730061,0.0
169,fixed star,[45],1,0.09202453987730061,0.09202453987730061,0.0
170,book,[ 45 109],2,0.1574642126789366,0.1574642126789366,0.065439672801636
171,various star,[47],1,0.09611451942740286,0.09611451942740286,0.0
172,latitude,[ 47 323],2,0.3783231083844581,0.3783231083844581,0.2822085889570552
173,milky way galaxy,[47],1,0.09611451942740286,0.09611451942740286,0.0
174,11th century,[47],1,0.09611451942740286,0.09611451942740286,0.0
175,persian polymath scholar abu rayhan biruni,[47],1,0.09611451942740286,0.09611451942740286,0.0
176,nebulous star,[47],1,0.09611451942740286,0.09611451942740286,0.0
177,zahoor,[47],1,0.09611451942740286,0.09611451942740286,0.0
178,fragment,[47],1,0.09611451942740286,0.09611451942740286,0.0
179,lunar eclipse,[47],1,0.09611451942740286,0.09611451942740286,0.0
180,property,[ 47 144 425],3,0.41990456714383095,0.294478527607362,0.32780419940406147
181,observation,[48 68],2,0.11860940695296524,0.11860940695296524,0.02044989775051125
182,mar,[ 48 104],2,0.1554192229038855,0.1554192229038855,0.05725971370143149
183,josep puig,[48],1,0.09815950920245399,0.09815950920245399,0.0
184,effect,[ 48 268],2,0.3231083844580777,0.3231083844580777,0.2249488752556237
185,continuous image,[48],1,0.09815950920245399,0.09815950920245399,0.0
186,refraction,[48],1,0.09815950920245399,0.09815950920245399,0.0
187,jupiter,[ 48 104 311],3,0.3156100886162236,0.21267893660531698,0.23131798486956567
188,evidence,[ 48 309],2,0.36503067484662577,0.36503067484662577,0.2668711656441718
